"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"63","4_201_5",0,0.206851044068031,0.0513519606442311,0.0513519606442311,0.277210277600393,0.992264061940957,0.960242309908478,0.0163063234828816,0.817815374847928,0.1352187332922,0.243811787582108,0.630508790044708,0.0199256268389571,0.98367885021233,0.849362381741648,0.924835331677623,0.182946910216248,0.469166462576886,0.0223981209595203,0.0718665154611248,0.431990956748393,0.333771892985437,3,47,FALSE
"64","4_201_6",0,0.218176702114915,0.0503889420002385,0.0503889420002385,0.668930031063668,0.948380420612109,0.952917786184204,0.0329252730396991,0.822871043925828,0.0765695580664518,0.525800313726496,0.395911723852724,0.00639572145847486,0.860074754827248,0.790776300666636,0.909036272098037,0.309340988354507,0.638215222070973,0,0.154314471776903,0.3187051255547,0.14983711128868,3,47,FALSE
"65","4_202_3",0,0.20611561616356,0.0515539475437092,0.0515539475437092,0.867854615121577,0.943100271452916,0.960948393032482,0.0231818497670999,0.799017686579344,0.107632898218178,0.406315435015615,0.380137340343857,0.0128463044814171,0.814777781536077,0.776244098486102,0.909345117513417,0.390833752308249,0.523208381874525,0.061771823777574,0.154628293500851,0.322804258806579,0.418744264369881,3,47,FALSE
"66","4_204_8",0,0.23565278401847,0.0500551966509448,0.0500551966509448,0.277210277600393,0.900847776403703,1,0.0677893965291161,0.952360650732187,0.1352187332922,0.243811787582108,0.630508790044708,0.017915035984556,0.904812374352971,0.884762198576657,0.827125167734461,0.182946910216248,0.283680999834987,0.00148542001262539,0.108425871996644,0.41684629141966,0.0949070285324623,3,47,FALSE
"67","4_204_9",0,0.217529693459083,0.0504059776842836,0.0504059776842836,0.668930031063668,0.948380420612109,0.952917786184204,0.0329252730396991,0.837909194500216,0.0765695580664518,0.525800313726496,0.395911723852724,0.00639572145847486,0.860074754827248,0.790776300666636,0.921428443563776,0.309340988354507,0.638215222070973,0,0.154314471776903,0.32536355228797,0.14983711128868,3,47,FALSE
"68","4_205_8",0,0.213825560620472,0.0507307489836143,0.0507307489836143,0.343076200251713,0.970090278520928,0.993769316635716,0.0630119199671365,0.990878311686877,0.0453900644124453,0.227827430937504,0.699993910404908,0.0195090936721508,0.985339122130885,0.850349832011902,0.993959163376571,0,0.503396079268667,0.029686804288161,0.0414161088911055,0.25758311110056,0.198029330218417,3,47,FALSE
"69","4_208_1",0,0.222119752867452,0.0505016341294272,0.0505016341294272,0.611983857620307,0.965846058553169,0.960052028602773,0.0674206455423787,0.842842472708344,0.298909483359914,0.148188929091454,0.460880305741193,0.00715869736300161,0.813379742233114,0.765226476608513,0.951211070413568,0.247917843472851,0.615851954616401,0.00891003619081648,0.196495313699365,0.343178318250768,0.168447733091458,3,47,FALSE
"70","4_208_2",0,0.188614689649155,0.0525039290484441,0.0525039290484441,0.468581534903096,0.992264061940957,0.962887074022892,0.157280790326633,0.866483371292348,0.342705788694382,0.697230039403671,0.517924781034168,0.0187854495828606,0.958889247129014,0.832860067961339,0.895966837388377,0.366362921759471,0.525118739417184,0.00148542001262539,0.0669054754239702,0.595916469803535,0.546626151480588,4,25,FALSE
"71","4_208_7",0,0.202287630478709,0.0514134843696203,0.0514134843696203,0.756343203319225,0.926936572460108,0.970936918729354,0.0656421286811379,0.958448191330303,0.362841945476187,0.124744287489806,0.518130601868845,0.00342550490776967,0.724152558473431,0.874379316959122,0.788094416760677,0.18383552993194,0.589357146665631,0.0219899309070726,0.236439848470607,0.347517775508984,0.391854658895873,3,47,FALSE
"72","4_209_6",0,0.257336435400238,0.0499177124564456,0.0499177124564456,0.049780520213038,0.916525480033241,0.99793711287927,0.472979653713324,0.842174865897322,0.104105965968776,0.0248521324134627,0.75241690918965,0.0161812604431388,0.8641394765686,0.625539726594671,0.978810807160508,0.0193255367720342,0.946907208532197,0.418749241818065,0.11502860922322,0.0267281047385886,0.0545169686396506,3,47,FALSE
"73","4_210_2",0,0.177400829401177,0.0561643191854097,0.0561643191854097,0.402957991471798,0.985737962522444,0.917380537031059,0.35027986055995,0.697938137353913,0.467397624395395,0.793131174245507,0.338174484078402,0.0194288485238275,0.827880307120077,0.844463277208598,0.742939541976292,0.609907995592035,0.53910680859321,0.0737018679643153,0.145277319145694,0.742348776897095,0.608461684559104,4,25,FALSE
